City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Quatre Cocos,MU,2022-12-11 17:35:11,-20.2078,57.7625,77.11,80,17,12.66
175,Whitley Bay,GB,2022-12-11 17:35:12,55.0397,-1.4471,34.59,95,40,4.61
176,Matara,LK,2022-12-11 17:35:12,5.9485,80.5353,75.6,92,90,7.83
177,Saint-Pierre,RE,2022-12-11 17:35:12,-21.3393,55.4781,76.68,83,42,18.41
178,Ostersund,SE,2022-12-11 17:35:13,63.1792,14.6357,21.65,100,100,4.61
179,Iguape,BR,2022-12-11 17:35:13,-24.7081,-47.5553,80.83,76,84,8.23
180,Sehithwa,BW,2022-12-11 17:35:13,-20.4667,22.7167,79.03,52,93,5.79
181,Banda Aceh,ID,2022-12-11 17:35:14,5.5577,95.3222,76.19,83,100,7.83
182,Grand Gaube,MU,2022-12-11 17:35:14,-20.0064,57.6608,77.4,73,5,5.01
183,Pevek,RU,2022-12-11 17:35:14,69.7008,170.3133,-10.19,98,100,18.97
184,Isla Vista,US,2022-12-11 17:35:15,34.4133,-119.861,57.83,71,40,10.36
185,Butaritari,KI,2022-12-11 17:36:15,3.0707,172.7902,81.05,72,49,12.39
186,Iqaluit,CA,2022-12-11 17:36:16,63.7506,-68.5145,-0.67,71,75,0.0
187,Provideniya,RU,2022-12-11 17:36:16,64.3833,-173.3,20.19,87,98,30.6
188,Chuy,UY,2022-12-11 17:36:16,-33.6971,-53.4616,91.29,35,0,9.73
189,Carnarvon,AU,2022-12-11 17:36:17,-24.8667,113.6333,70.65,75,0,22.5
190,Bengkulu,ID,2022-12-11 17:36:17,-3.8004,102.2655,75.83,83,100,8.52
191,Yarim,YE,2022-12-11 17:36:17,14.298,44.3779,51.94,54,53,5.82
192,Great Yarmouth,GB,2022-12-11 17:36:18,52.6083,1.7305,36.01,74,89,5.37
193,Sechura,PE,2022-12-11 17:36:18,-5.5569,-80.8222,79.65,57,80,11.7
194,Drabiv,UA,2022-12-11 17:36:18,49.963,32.1529,52.14,94,100,22.03
195,Sao Francisco,BR,2022-12-11 17:36:19,-15.9486,-44.8644,85.69,57,97,1.74
196,Nome,US,2022-12-11 17:36:19,64.5011,-165.4064,30.27,93,100,9.22
197,Lethem,GY,2022-12-11 17:36:19,3.3803,-59.7968,86.85,61,51,7.49
198,Lahij,YE,2022-12-11 17:36:20,13.1667,44.5833,71.91,63,39,5.79
199,Coihaique,CL,2022-12-11 17:33:10,-45.5752,-72.0662,61.41,58,75,8.05
200,Ust-Omchug,RU,2022-12-11 17:36:20,61.15,149.6333,-46.3,99,90,1.95
201,Salinopolis,BR,2022-12-11 17:36:21,-0.6136,-47.3561,83.75,68,47,12.73
202,Poum,NC,2022-12-11 17:36:21,-20.2333,164.0167,79.25,75,4,4.54
203,Uberaba,BR,2022-12-11 17:36:21,-19.7483,-47.9319,77.58,69,40,12.66
204,Soltsy,RU,2022-12-11 17:36:22,58.1239,30.3238,20.62,91,100,13.69
